FlushFlush-32768000-stat,0.061701,1,1,0.823424,1,1,0.687179,0.973616,0.720523,0.72907,1,1,1,0.70781,1,0.680702,1,0.944619,0.878617,0.45007,0.321481,0.285174,0.607403,0.595868,0.595868,0.952649,0.952661,0.674457,0.607503,0.674457,0.607503,1,0.715725,1,0.563703,1,0.881357,0.74471,0.933922,1,0.926814,1,1,1,0.000762,1,0.96191,1,0.952805,1,0.6465,0.000092,1,0.74471,0.190557,0.323764,1,0.720552,0.770456,0.910789,0.726409,0,0,1
FlushReload-32768000-stat,0.013171,0.56914,0.734304,0.1397,0.742949,1,0.774674,0.480224,1,0.997633,0.35154,0.742949,1,0.422633,0.742949,0.439989,0.559207,0.721896,0.617613,1,0.209798,0.186111,0.455289,0.444666,0.444666,0.776556,0.778471,0.504459,0.455108,0.504459,0.455108,0.317199,0.516414,0.538097,0.453851,0.869813,0.617706,0.596047,0.928793,0.89584,0.955981,0.840602,0.884582,0.89584,0.345814,0.936931,0.890386,0.863967,1,0.858851,0.844014,1,0.681777,0.596047,0.056584,0.052039,0.941275,1,0.02441,0.922238,0.007095,0,0,1
GemsFDTD-32768000-stat,0,0.000404,0.000557,0.000128,0.000565,0.000732,0.000482,0.000381,0.000818,0.000939,0.000239,0.000565,0.000732,0.000357,0.000565,0.000409,0.000391,0.000534,0.000553,0.00099,0.000213,0.000197,0.000436,0.000435,0.000435,0.000685,0.00072,0.000469,0.000443,0.000469,0.000443,0.000288,0.000509,0.000521,0.000381,0.000836,0.000554,0.000627,0.000976,0.000888,0.001003,0.000795,0.000872,0.000888,0.000515,0.00087,0.000779,0.000824,0.000892,0.000814,0.000762,0.000508,0.000682,0.000627,0.000025,0.000017,0.000676,0.001031,0.000014,0.000987,0.000008,0,0,0
Meltdown-32768000-stat,1,0.130581,0.43794,0.000026,0.518585,1,0.361331,0.110726,0.916956,0.37789,0.154755,0.518585,1,0.082345,0.518585,0.06209,0.130579,0.60277,0.109292,0.083494,0.000047,0.000046,0.081749,0.085418,0.085418,0.094629,0.156514,0.039338,0.058592,0.039338,0.058592,0.114424,0.079326,0.108383,0.168743,0.491383,0.109633,0.091396,0.453413,0.491359,0.392049,0.491878,0.491365,0.491359,0.000076,0.521288,0.517088,0.491393,0.500588,0.491881,0.428505,0.000092,0.184008,0.091396,0.086894,0.114758,0.736548,0.503205,0.811578,0.440024,0.000003,1,1,1
PrimeProbe-32768000-stat,0,0.001696,0.073911,0.000175,0.799662,1,0.765596,0.053169,0.126006,0.101388,0.073935,0.799662,1,0.056611,0.799662,0.001116,0.001688,0.40801,0.002,0.456529,0.062136,0.062941,0.056269,0.056698,0.056698,0.002147,0.002545,0.054787,0.056375,0.054787,0.056375,0.054764,0.054921,0.052254,0.159498,0.758196,0.002005,0.002,0.69995,0.758206,0.721881,0.053176,0.053203,0.758206,1,0.059668,0.063116,0.758192,0.994324,0.758933,1,0.000092,0.065922,0.002,0.000071,0.000064,0.882625,0.604045,0.000027,0.679337,0.000007,0,0,1
SpectreRSB-32768000-stat,0.09656,0.856475,0.64224,0.020656,0.646261,1,0.164034,0.293354,0.903069,0.64305,0.612251,0.646261,1,0.609902,0.646261,0.592775,0.856477,0.546538,0.813386,0.448746,0.271278,0.240713,0.368204,0.366236,0.366236,0.381953,0.405537,0.393916,0.363673,0.393916,0.363673,0.456193,0.662605,0.331477,0.310979,0.767047,0.815923,0.906408,0.871279,0.769046,0.882224,0.755319,0.76365,0.769046,0.120605,0.842017,0.715164,0.76705,0.936821,0.765061,0.626373,0.000185,0.65138,0.906408,0.993326,1,0.825168,0.886102,0.142989,0.865144,0.000003,0.075107,0.075107,1
SpectreV1-32768000-stat,0.092593,0.873795,0.648316,0.006874,0.651675,1,0.243892,0.299996,0.89892,0.643305,0.571397,0.651675,1,0.606852,0.651675,0.563892,0.873798,0.554303,0.806241,0.385642,0.258668,0.229528,0.337338,0.33614,0.33614,0.326139,0.351989,0.3598,0.333792,0.3598,0.333792,0.424289,0.633234,0.317194,0.090789,0.721999,0.808756,0.890769,0.80797,0.72439,0.817297,0.720852,0.725693,0.72439,0.036517,0.803514,0.671391,0.721904,0.900083,0.720856,0.585396,0.000231,0.623874,0.890769,0.898531,0.900691,0.841881,0.830515,0.106505,0.799337,0.000003,0.03477,0.03477,1
astar-32768000-stat,0,0.000127,0.000177,0.000042,0.000178,0.000234,0.000136,0.000118,0.000264,0.000286,0.000052,0.000178,0.000234,0.000109,0.000178,0.000122,0.000122,0.000171,0.000181,0.000307,0.00006,0.000058,0.000132,0.000134,0.000134,0.000206,0.000225,0.000138,0.000135,0.000138,0.000135,0.000066,0.000167,0.000156,0.000102,0.000271,0.000181,0.000197,0.000314,0.000286,0.000322,0.000258,0.00028,0.000286,0.000117,0.000285,0.000255,0.000267,0.000288,0.000264,0.000243,0.000138,0.000229,0.000197,0.00001,0.000007,0.000216,0.00033,0.000008,0.000318,0.000004,0,0,0
breakingKslr-32768000-stat,1,0.130581,0.43794,0.000027,0.518586,1,0.361322,0.110726,0.916958,0.377893,0.154753,0.518586,1,0.082345,0.518586,0.06209,0.130579,0.60277,0.109289,0.083498,0.000047,0.000046,0.081748,0.085417,0.085417,0.094626,0.156511,0.039337,0.058591,0.039337,0.058591,0.114423,0.079326,0.108384,0.16876,0.491384,0.10963,0.09139,0.453411,0.491359,0.392047,0.491879,0.491365,0.491359,0.000076,0.521288,0.517088,0.491394,0.4918,0.491881,0.423703,0.000092,0.184009,0.09139,0.086896,0.114758,0.736548,0.503206,0.811577,0.440021,0.000003,0,0,1
bwaves-32768000-stat,0,0.000507,0.000734,0.000162,0.000743,0.000995,0.000619,0.000481,0.001058,0.001197,0.000329,0.000743,0.000995,0.000468,0.000743,0.000549,0.000491,0.000705,0.000691,0.001272,0.000293,0.00027,0.000562,0.000558,0.000558,0.000853,0.000883,0.000608,0.000568,0.000608,0.000568,0.000393,0.000654,0.00064,0.00053,0.001065,0.000692,0.000792,0.001249,0.001131,0.001282,0.001014,0.001109,0.001131,0.000554,0.001112,0.00101,0.001053,0.00115,0.001038,0.000985,0.000461,0.000866,0.000792,0.000038,0.000032,0.000891,0.001322,0.000017,0.00126,0.000012,0,0,0
