
system.cpu.commit.refs,0.7078,0.4226,0.0004,0.0823,0.0566,0.6099,0.6069,0.0001,0.0823,0.0005,0.0141,0.0567,0.0003,0.2863,0.807,0.0558,0.3063,0.0003,0.0891,0.1605,0.0011,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.2562,0.0039,0.0248,1.0,0.0027,0.0001,0.0005,0.0003,0.0107,0.0003,
system.cpu.commit.op_class_0::total,1.0,0.7429,0.0006,0.5186,0.7997,0.6463,0.6517,0.0002,0.5186,0.0007,0.0206,0.1025,0.0005,0.9088,0.7201,0.7999,0.5934,0.0005,0.1938,0.343,0.0018,0.0003,0.0002,0.0002,0.0004,0.0002,0.0001,0.0003,0.0002,0.4693,0.0065,0.0405,0.7551,0.006,0.0002,0.0008,0.0005,0.0179,0.0005,
system.cpu.commit.op_class_0::MemWrite,0.6807,0.44,0.0004,0.0621,0.0011,0.5928,0.5639,0.0001,0.0621,0.0005,0.0187,0.0506,0.0004,0.3743,1.0,0.0001,0.0825,0.0004,0.0726,0.3018,0.0009,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.2641,0.0048,0.0302,0.2284,0.0055,0.0001,0.0005,0.0004,0.0116,0.0004,
system.cpu.commit.op_class_0::MemRead,1.0,0.5592,0.0004,0.1306,0.0017,0.8565,0.8738,0.0001,0.1306,0.0005,0.0156,0.0809,0.0003,0.3217,0.9532,0.0001,0.1528,0.0003,0.1309,0.0998,0.001,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.3464,0.0044,0.0293,0.2428,0.0011,0.0001,0.0005,0.0003,0.0136,0.0003,
system.cpu.commit.op_class_0::IntAlu,0.9446,0.7219,0.0005,0.6028,0.408,0.5465,0.5543,0.0002,0.6028,0.0007,0.0196,0.1017,0.0005,1.0,0.5623,0.4075,0.5074,0.0005,0.1987,0.3552,0.0016,0.0003,0.0001,0.0002,0.0004,0.0001,0.0001,0.0002,0.0002,0.4723,0.0063,0.0392,0.516,0.0062,0.0002,0.0008,0.0005,0.0175,0.0004,
system.cpu.dtb.rdAccesses,0.8786,0.6176,0.0006,0.1093,0.002,0.8134,0.8062,0.0002,0.1093,0.0007,0.0132,0.097,0.0005,0.2692,1.0,0.0001,0.5084,0.0005,0.1526,0.0841,0.0015,0.0004,0.0002,0.0002,0.0004,0.0002,0.0001,0.0003,0.0002,0.3,0.0055,0.0271,0.2578,0.0013,0.0002,0.0008,0.0005,0.0162,0.0004,
system.cpu.decode.RunCycles,0.4501,1.0,0.001,0.0835,0.4565,0.4487,0.3856,0.0003,0.0835,0.0013,0.0004,0.1568,0.0009,0.2733,0.8908,0.5295,0.5999,0.0009,0.284,0.1043,0.0027,0.0005,0.0003,0.0004,0.0007,0.0003,0.0002,0.0005,0.0003,0.4089,0.0097,0.0213,0.3584,0.0026,0.0004,0.0014,0.0009,0.0279,0.0008,
system.cpu.dcache.WriteReq_hits::total,0.3215,0.2098,0.0002,0.0,0.0621,0.2713,0.2587,0.0001,0.0,0.0003,0.0001,0.0247,0.0002,0.1736,0.4785,0.062,0.0549,0.0002,0.0371,0.113,0.0007,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0001,0.1262,0.0024,0.0144,1.0,0.0025,0.0001,0.0003,0.0002,0.0056,0.0002,
system.cpu.dcache.WriteReq_accesses::total,0.2852,0.1861,0.0002,0.0,0.0629,0.2407,0.2295,0.0001,0.0,0.0003,0.008,0.022,0.0002,0.154,0.4244,0.0628,0.0499,0.0002,0.0334,0.13,0.0007,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0001,0.1121,0.0022,0.0128,1.0,0.0025,0.0001,0.0002,0.0002,0.005,0.0002,
system.cpu.dcache.tags.total_refs,0.6074,0.4553,0.0004,0.0817,0.0563,0.3682,0.3373,0.0001,0.0817,0.0006,0.0141,0.0675,0.0004,0.2798,0.7477,0.0554,0.2984,0.0004,0.1008,0.1592,0.0013,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.2155,0.0045,0.0251,1.0,0.0027,0.0002,0.0006,0.0004,0.012,0.0004,
