
system.cpu.decode.RunCycles,7129966,15841919,15685,1322702,7232293,7109000,6109317,4870,1322775,20148,6138,2484749,14638,4329842,14112597,8388030,9502942,14822,4498317,1652721,43165,7590,4593,5550,11169,4263,3124,7195,5126,6478339,153550,336929,5677643,40454,5786,22056,14317,442507,12450,
system.cpu.dcache.WriteReq_hits::total,7105838,4637268,4709,1043,1373418,5996190,5717459,1335,1037,6478,1587,546671,4235,3837597,10575584,1370406,1213581,4512,819044,2498577,16068,2364,1250,1719,3730,1236,949,1771,1368,2790267,52756,319190,22103456,55774,1529,5792,4845,123882,4085,
system.cpu.dcache.WriteReq_accesses::total,7106300,4637727,4904,1143,1568444,5998361,5719642,1441,1144,6725,198317,549011,4447,3838325,10576672,1566124,1243969,4723,833206,3239977,17137,2566,1379,1817,3898,1333,1048,1885,1478,2793466,54681,319432,24919139,61408,1658,6026,5104,124873,4280,
system.cpu.dcache.tags.total_refs,17188918,12884239,12336,2313406,1592364,10419820,9546343,3727,2313380,15906,397640,1910060,11240,7919069,21160514,1567685,8443043,11380,2853768,4505901,37333,6210,3605,4622,9217,3259,2435,5406,3830,6099201,126712,711608,28299047,76241,4341,16381,11760,339293,10040,
system.cpu.dcache.tags.tag_accesses,69128688,51587196,50495,9909619,6577772,42488292,38996735,15505,9909511,64682,1787825,7652792,46158,32295558,84656427,6466911,34117275,46873,11449311,18767423,152030,27871,15069,19157,37906,13707,10238,22332,16114,24530844,510855,2855499,116013418,312974,18074,66923,48329,1363023,41129,
system.cpu.dcache.tags.data_accesses,69128688,51587196,50495,9909619,6577772,42488292,38996735,15505,9909511,64682,1787825,7652792,46158,32295558,84656427,6466911,34117275,46873,11449311,18767423,152030,27871,15069,19157,37906,13707,10238,22332,16114,24530844,510855,2855499,116013418,312974,18074,66923,48329,1363023,41129,
system.cpu.dcache.ReadReq_hits::total,10081404,8217903,7253,1001408,22718,4042015,3451367,2179,1001380,9028,199192,1359504,6602,3833434,10582495,1480,6944190,6441,2013894,1265257,19831,3376,2098,2702,5148,1820,1296,3383,2232,3269543,71541,391679,3379629,14473,2546,10136,6471,213567,5598,
system.cpu.dcache.ReadReq_accesses::total,10085655,8241536,7627,1656982,26942,4293345,3726449,2382,1656952,9346,199424,1363225,6992,4080840,10586826,1654,7214034,6889,2023915,1266362,20512,4285,2324,2922,5494,2043,1464,3635,2493,3329398,72430,394258,3380225,15339,2794,10592,6868,215438,5913,
system.cpu.dcache.overall_hits::total,17187242,12855171,11962,1002451,1396136,10038205,9168826,3514,1002417,15506,200779,1906175,10837,7671031,21158079,1371886,8157771,10953,2832938,3763834,35899,5740,3348,4421,8878,3056,2245,5154,3600,6059810,124297,710869,25483085,70247,4075,15928,11316,337449,9683,
system.cpu.dcache.overall_accesses::total,17191955,12879263,12531,1658125,1595386,10291706,9446091,3823,1658096,16071,397741,1912236,11439,7919165,21163498,1567778,8458003,11612,2857121,4506339,37649,6851,3703,4739,9392,3376,2512,5520,3971,6122864,127111,713690,28299364,76747,4452,16618,11972,340311,10193,
system.cpu.dcache.demand_hits::total,17187242,12855171,11962,1002451,1396136,10038205,9168826,3514,1002417,15506,200779,1906175,10837,7671031,21158079,1371886,8157771,10953,2832938,3763834,35899,5740,3348,4421,8878,3056,2245,5154,3600,6059810,124297,710869,25483085,70247,4075,15928,11316,337449,9683,
system.cpu.dcache.demand_accesses::total,17191955,12879263,12531,1658125,1595386,10291706,9446091,3823,1658096,16071,397741,1912236,11439,7919165,21163498,1567778,8458003,11612,2857121,4506339,37649,6851,3703,4739,9392,3376,2512,5520,3971,6122864,127111,713690,28299364,76747,4452,16618,11972,340311,10193,
system.cpu.fetch.predictedBranches,14472816,4590758,4161,1656041,792589,6602397,6140656,953,1656023,5685,197918,648662,3415,12239514,12083815,781206,3883378,3754,1293723,3197865,10710,2178,1032,1044,3067,854,640,1494,1074,2625181,41464,139644,4660647,60696,1158,6414,3953,120398,3433,
system.cpu.iew.exec_refs,20880995,15066167,14839,2314297,1602294,19331250,18474345,4882,2314293,19069,398984,2166610,14057,8167125,26198491,1568554,9078438,13989,3368274,4517526,42123,9396,4753,6042,11202,4391,3369,6901,5165,7529459,149775,746699,29174606,83005,5681,19599,14259,402124,12270,
system.cpu.iew.exec_branches,15287267,8226036,7961,1656879,798819,5067371,4849022,2390,1656892,9789,199375,1391058,7031,15083610,6558001,782159,4522061,7030,2654003,3208710,20718,4123,2188,3110,5307,2075,1474,3650,2499,4197083,79292,288324,5972309,66287,2557,11481,7027,234966,5836,
system.cpu.icache.overall_hits::total,11064713,8908467,7477,3312194,3130737,6104094,1782071,2009,3312518,10405,2983,1274734,7002,8407379,19628630,3121505,5918259,7028,2520774,1972343,19706,3167,1888,2296,5119,2089,1403,2964,2398,2990455,77114,292807,2989943,17307,2362,10083,7260,228461,5950,
system.cpu.iew.iewExecutedInsts,91626317,79697801,76562,45023617,69470715,70281675,66154111,24844,45023678,97576,1799497,12563296,70879,79635713,82675201,69443485,54592278,72835,22998434,29825397,229400,41844,23509,29871,55644,22110,16871,36261,26259,42454287,792417,3783386,71211388,563943,28502,107407,70701,2176016,61664,
